Souvenir Name,Souvenir Description,Category,City,Region,Country,Owner,Longitude,Latitude,Price,Weight,DateObtained,Username,Password,OwnerName
Snowy Mountain Mug,,Kitchenware,,,,Group 3,-105.688103,40.343182,9.99,20,2019-02-17T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Lobster Mug,,Kitchenware,,,,Group 3,-82,38,12.99,16,2019-03-05T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Sea Lion Mug,,Kitchenware,,,,Group 3,-153.433334,57.466667,10.25,16,2019-04-18T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Coral Reef Mug,,Kitchenware,,,,Group 3,-169.523895,16.736944,6.91,20,2019-05-07T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Ocean Life Mug,,Kitchenware,,,,Group 3,-171.733337,25.700001,8.99,12,2019-06-15T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Landscape Mug,,Kitchenware,,,,Group 3,-91.504852,38.865097,9.75,16,2019-07-21T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Bird Mug,,Kitchenware,,,,Group 3,-119.930984,39.198364,13.25,24,2019-08-01T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Dunes Mug,,Kitchenware,,,,Group 3,-106.171669,32.77972,11.4,20,2019-09-15T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Skier Mug,,Kitchenware,,,,Group 3,-110.821999,43.582767,19.99,12,2019-10-15T00:00:00.0000000,aquaid,Planecrash75J,Ace Mc. Quaid
Desert Mug,,Kitchenware,,,,Group 3,-115.510399,35.141689,14.25,16,2019-11-09T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Mountain City Mug,,Kitchenware,,,,Group 3,-105.688103,40.343182,12.99,20,2019-11-27T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Joshua Tree Mug,,Kitchenware,,,,Group 3,-115.90065,33.881866,12.5,12,2019-12-04T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
River View Mug,,Kitchenware,,,,Group 3,-92.757652,35.985512,11.99,20,2020-01-15T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Hot Springs Mug,,Kitchenware,,,,Group 3,-93.042267,34.52153,10.75,16,2020-02-13T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Cave Bat Mug,,Kitchenware,,,,Group 3,-110.347382,31.837551,10.99,12,2020-03-15T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Cowboy Mug,,Kitchenware,,,,Group 3,-110.821999,43.582767,15,12,2021-01-11T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Buffalo Mug,,Kitchenware,,,,Group 3,-92.757652,35.985512,12.25,20,2021-02-28T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Gila Monster Mug,,Kitchenware,,,,Group 3,-115.510399,35.141689,9.95,16,2021-03-26T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Pink Mug,,Kitchenware,,,,Group 3,-169.523895,16.736944,25,24,2021-05-08T00:00:00.0000000,pjones,jonespat7891f,Pat Jones
Quartz rock,Common white quartz found in Utah,Geological,Beaver,Utah,United States,Group 4,,,0,,2020-06-01T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
NYC bronze ornament,Bronze NYC ornament bought from visitors center,Miscellaneous,New York City,New York,United States,Group 4,,,0,,2019-12-30T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Texas Pen,Souvenir shop item commemorating the second ammendment.,Tool,Dallas,Texas,United States,Group 4,,,0,,2021-01-02T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
I Got Tipsy In Key West shot glass,Cute shot glass from Key West Florida,Kitchenware,Key West,Florida,United States,Group 4,,,0,,2020-12-25T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
PCB T-Shirt,Sick T-Shirt from a wild PCB spring break back in '99,Clothing,Panama City Beach,Florida,United States,Group 4,,,0,,1999-04-27T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Daytona 500 Hat,Raise hell and praise Dale,Clothing,Daytona Beach,Florida,United States,Group 4,,,0,,2008-02-05T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
9/11 bronze ornament,9/11 Memorial bronze ornament,Miscellaneous,Washington DC,Washington DC,United States,Group 4,,,0,,2020-03-14T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Super Soaker,Started a squirt gun fight that ended the Cuban Missile Crisis,Toy,Havana,La Habana,Cuba,Group 4,,,0,,1962-08-20T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Oxygen Not Included,Video game bought on Steam,Toy,,,,Group 4,,,0,,2019-07-20T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Stardew Valley,Video game bought on Steam,Toy,,,,Group 4,,,0,,2019-05-01T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Panda Pencil Holder,Pencil case with a panda hugging it. ,Tool,Beijing,Hebei,China,Group 4,,,0,,2014-07-01T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Shiny Limited Edition Charzard,Pokemon Card,Toy,Minneapolis,Minnesota,United States,Group 4,,,0,,2010-06-10T00:00:00.0000000,hhenderson,Hondersoncake731T,Henry Henderson
Diamonds,Loot gained from besting pirates. ,Geological,Babati,Manyara,Tanzania,Group 4,,,0,,2008-08-07T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Swim Suit,Blue Swim Suit from Toronto water park,Clothing,Toronto,Ontario,Canada,Group 4,,,0,,2019-01-01T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Taxidermy Tazmanian Devil,Taxidermy tazmanian devil,Miscellaneous,Babati,Manyara,Tanzania,Group 4,,,0,,2000-06-13T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Emerald,Rare green crystal,Geological,Babati,Manyara,Tanzania,Group 4,,,0,,2011-08-15T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Topaz,Orange crystal found at Utah's Topaz Mountain,Geological,Topaz Mountain,Utah,United States,Group 4,,,0,,1982-03-11T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Ruby,Rare red crystal,Geological,Babati,Manyara,Tanzania,Group 4,,,0,,1937-02-25T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Gordon Ramsey's Filet Knife,The Chef's favorite knife,Kitchenware,London,London,England,Group 4,,,0,,1998-07-11T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Rian Johnson's Creativity,Rian Johnson's Creativity that he lost before he directed the Last Jedi,Artifact,Hollywood,California,United States,Group 4,,,0,,2016-05-20T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Replica George Washington Wood Teeth,Commemorative replica of the first President's fabled wooden teeth,Artifact,Washington DC,Washington DC,United States,Group 4,,,0,,2003-03-03T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Red Beryl,Rarest and most expensive crystal,Geological,Beaver,Utah,United States,Group 4,,,0,,2011-07-11T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Shield of Solitude,Powerful shield belonging to the guard order of the town of Solitude,Artifact,Solitude,Haafingar Hold,Skyrim,Group 4,,,0,,2014-05-19T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
LoL Player's Sanity,They said it didn't exist,Miscellaneous,Milwaukee,Wisconsin,United States,Group 4,,,0,,2021-02-26T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Ancient Helmet of the Unburned,Helmet that provides elemental resistance,Clothing,Labyrinthian,Shalidor's Maze,Skyrim,Group 4,,,0,,2010-06-23T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
The Pink Panther,The prized jewel of France worn by Beyonce,Geological,Paris,Ile-de-France,France,Group 4,,,0,,2009-03-30T00:00:00.0000000,thillside,cubaMinnestoa732!,Teddy Hillside
Dwemer Lexicon,Item invented by the Dwemer to store culture's knowledge,Artifact,Riften Docks,Riften,Skyrim,Group 4,,,0,,2011-07-12T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Rasputin's Hat,The hat of Rasputin (from the song),Clothing,Moscow,Central Russia,Russia,Group 4,,,0,,2011-11-11T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Infinity Edge ,Attack damage and critical strike,Artifact,The Fountain,Summoners Rift,Freljord,Group 4,,,0,,2021-05-18T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Skeleton Key,Unbreakable lockpick,Tool,Thieves' Guild,Thieves' Guild,Skyrim,Group 4,,,0,,2012-10-30T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Hitler's Mustache,Hitler's iconic mustache,Artifact,Hamburg,Hamburg,Germany,Group 4,,,0,,1940-04-30T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Da Vinci's Code,I stole this from Tom Hanks,Artifact,Vatican City,Vatican City,Vatican City,Group 4,,,0,,2000-06-14T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
BF Sword,A lot of attack damage. ,Artifact,The Fountain,Summoners Rift,Freljord,Group 4,,,0,,2021-05-18T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
The Last Supper,Mural painting by Italian artist Leonardo da Vinci,Art,Milan,Lombardy,Italy,Group 4,,,0,,1490-04-17T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Mona Lisa,Portrait painting by Italian artist Leonardo da Vinci,Art,Florence,Tuscany,Italy,Group 4,,,0,,1507-05-20T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Sphinx,Limestone sculpure,Art,Cairo,Greater Cairo Regional Unit,Egypt,Group 4,,,0,,2020-09-12T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Eiffle Tower Postcard,Wrought-iron lattice tower,Postcard,Paris,Ile-de-France,France,Group 4,,,0,,1887-01-28T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Mount Everest Postcard,Tallest mountain in the world,Postcard,Qing Zang Gaoyuan,Himalayas,Nepal,Group 4,,,0,,2003-02-14T00:00:00.0000000,sbishop,PopeMan893{*,Stanley Bishop
Central Park-dirt,"Very good dirt. Solid, reliable.",Geological,New York City,New York,United States,Group 5,,,0,4,2007-03-21T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Hollywood Bowl-dirt,Dry and depressing,Geological,Los Angeles,California,United States,Group 5,,,0,4,2009-08-01T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Burham Park-dirt,Tastes rich in Oxygen,Geological,Chicago,Illinois,United States,Group 5,,,0,4,2010-03-11T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Playa Tortugas-sand,Unimagineable feeling between the toes,Geological,Cancun,Quintana Roo,Mexico,Group 5,,,0,4,2015-12-25T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Bukhansan National Park-dirt,High in phosphates,Geological,Seoul,Gyeonggi,South Korea,Group 5,,,0,4,2018-04-22T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Wuhan Institute of Virology-dirt,"There's something fishy in here, got sick after tasting itâ€¦",Geological,Wuhan,Hubei,China,Group 5,,,0,4,2019-09-28T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
TEL AVIV BEACH-sand,Very soft,Geological,Tel Aviv,Tel Aviv,Israel,Group 5,,,0,4,2020-06-12T00:00:00.0000000,sford,Cartotaledlemon,Susan Ford
Bourscheid Neige Luges-dirt,Smallest dirt on earth. Pathetic,Geological,Luxembourg,Luxembourg,Luxembourg,Group 5,,,0,4,2020-08-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Lagoon Beach-sand,It's coarse. Gets everywhere. I don't like it,Geological,Cape Town,Western Cape,South Africa,Group 5,,,0,4,2020-09-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Champ de Mars-dirt,Tastes like they have never won a war,Geological,Paris,Ile-de-France,France,Group 5,,,0,4,2021-02-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Playa del Carmen-sand,"Very soft, great color",Geological,Playa del Carmen,Quintana Roo,Mexico,Group 5,,,0,4,2021-07-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Playa Punta Esmeralda-sand,"Medium coarseness, tons of shells",Geological,Playa del Carmen,Quintana Roo,Mexico,Group 5,,,0,4,2021-12-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Hyde Park-dirt,Looks very rich. I got a worm in here!,Geological,London,London,England,Group 5,,,0,4,2021-02-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
National Park-dirt,BASIC,Geological,Nice,Alpes-Maritimes,France,Group 5,,,0,4,2021-01-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Promenade des Anglais-sand,Neat.,Geological,Ulaanbaatar,Ulaanbaatar,Mongolia,Group 5,,,0,4,2021-03-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Hikkaduwa Beach-sand,Lots of critters and life. Kinda stinky,Geological,Colombo,Western Province,Sri Lanka,Group 5,,,0,4,2017-08-20T00:00:00.0000000,sespacito,BestLangauge ,Sally Espacito
Al Bustan Beach-sand,Very Nice,Geological,Muscat,Muscat,Oman,Group 5,,,0,4,2014-01-20T00:00:00.0000000,dloons,ToastBurnt56u,David Loons
Palm Beach-sand,Exotic,Geological,Ambondrona,Diana,Madagascar,Group 5,,,0,4,2000-06-20T00:00:00.0000000,dloons,ToastBurnt56u,David Loons
